AGEP,SCHL,MAR,RELP,DIS,ESP,CIT,MIG,MIL,ANC,NATIVITY,DEAR,DEYE,DREM,SEX,RAC1P,ESR
43,15,0,1,1,0,4,0,4,0,1,1,1,1,1,5,0
13,9,4,7,1,0,0,2,0,0,0,1,1,1,0,0,0
75,21,2,16,0,0,4,0,4,0,1,0,1,0,1,5,0
80,21,0,17,0,0,0,2,4,0,0,1,1,0,0,5,0
33,19,4,7,1,0,0,0,4,1,0,1,1,1,1,8,1
59,20,0,0,1,0,3,0,4,0,1,1,1,1,0,0,1
41,20,2,2,1,0,3,0,4,0,1,1,1,1,1,7,1
44,16,4,7,1,0,0,0,4,1,0,1,1,1,1,8,0
11,8,4,2,1,7,0,0,0,0,0,1,1,1,1,1,0
12,9,4,7,1,7,0,0,0,0,0,1,1,1,0,0,0
55,21,1,0,1,0,0,0,4,0,0,1,1,1,1,2,1
81,19,2,16,0,0,3,0,4,0,1,1,1,1,0,0,0
50,19,0,2,1,0,3,0,4,0,1,1,1,1,1,7,1
60,22,2,0,1,0,0,0,4,0,0,1,1,1,1,0,1
42,16,4,0,1,0,0,0,4,0,0,1,1,1,1,2,1
8,4,4,2,1,1,0,0,0,1,0,1,1,1,0,0,0
29,21,4,2,1,0,0,0,4,0,0,1,1,1,1,0,1
33,16,4,17,0,0,0,0,4,3,0,1,1,0,1,5,0
29,21,0,1,1,0,0,0,4,0,0,1,1,1,0,0,1
55,18,0,0,1,0,0,0,4,0,0,1,1,1,0,0,1
50,19,0,1,1,0,3,0,4,0,1,1,1,1,1,7,1
44,19,2,17,0,0,0,2,4,1,0,1,0,0,0,0,0
73,9,0,1,0,0,3,0,4,0,1,1,1,0,1,0,0
39,19,0,1,1,0,0,0,4,0,0,1,1,1,1,1,1
24,21,4,0,1,0,0,0,4,0,0,1,1,1,1,0,1
60,9,3,0,1,0,4,0,4,0,1,1,1,1,1,0,0
18,16,4,17,1,0,0,0,4,1,0,1,1,1,0,0,0
43,19,0,1,1,0,0,0,4,0,0,1,1,1,0,7,1
41,22,0,1,1,0,3,0,4,0,1,1,1,1,0,5,1
45,16,4,16,1,0,0,2,4,0,0,1,1,1,0,0,0
28,22,4,2,1,0,0,0,4,0,0,1,1,1,1,1,1
77,15,1,16,0,0,0,0,4,0,0,1,1,1,1,0,0
73,16,4,17,0,0,0,0,4,0,0,1,1,0,0,1,0
41,19,0,1,1,0,3,0,4,0,1,1,1,1,0,5,1
28,20,4,16,1,0,0,0,4,1,0,1,1,1,0,0,0
66,21,4,0,1,0,3,0,4,0,1,1,1,1,1,5,1
12,9,4,2,1,7,0,0,0,0,0,1,1,1,0,0,0
58,21,0,1,1,0,0,0,2,0,0,1,1,1,0,0,1
24,19,4,2,1,0,0,0,4,0,0,1,1,1,0,0,1
71,19,0,1,0,0,0,0,4,0,0,1,1,1,1,0,0
67,20,2,0,0,0,0,0,4,0,0,0,1,1,1,0,1
47,18,0,1,1,0,0,0,4,3,0,1,1,1,0,0,1
57,19,4,17,0,0,0,0,4,1,0,1,0,0,0,0,0
31,21,4,2,1,0,0,0,4,0,0,1,1,1,1,0,0
39,22,0,0,1,0,4,0,4,0,1,1,1,1,0,5,1
26,21,4,2,1,0,0,0,4,3,0,1,1,1,0,0,0
44,21,1,0,1,0,0,0,4,0,0,1,1,1,0,0,1
18,18,4,17,1,0,0,2,4,1,0,1,1,1,0,0,0
24,21,4,2,1,0,0,0,4,0,0,1,1,1,0,1,0
13,10,4,16,0,0,0,2,0,3,0,1,1,0,0,0,0
18,19,4,17,1,0,0,2,4,0,0,1,1,1,1,0,1
18,16,4,17,1,0,0,2,4,1,0,1,1,1,0,0,0
23,16,4,16,0,0,4,0,4,0,1,1,1,0,0,7,0
27,12,0,16,1,0,4,0,4,0,1,1,1,1,0,7,0
29,22,4,0,1,0,0,0,4,1,0,1,1,1,1,0,1
72,19,2,0,1,0,0,2,4,0,0,1,1,1,1,0,0
89,16,1,0,0,0,0,0,4,0,0,1,1,0,1,0,0
85,16,4,0,1,0,0,0,4,0,0,1,1,1,1,0,0
15,12,4,2,0,1,0,0,0,0,0,1,1,0,0,0,0
54,17,0,0,1,0,3,0,4,0,1,1,1,1,1,0,1
42,17,0,16,1,0,0,2,4,0,0,1,1,1,0,0,0
59,20,4,0,1,0,0,0,4,1,0,1,1,1,1,1,1
23,19,4,17,1,0,0,2,4,0,0,1,1,1,1,2,1
29,21,0,0,1,0,0,0,4,1,0,1,1,1,1,0,1
67,16,0,16,0,0,3,0,4,0,1,1,1,0,0,7,0
23,16,4,17,1,0,0,0,1,0,0,1,1,1,0,0,0
64,16,0,1,1,0,0,0,4,0,0,1,1,1,0,0,1
53,17,2,16,0,0,0,2,4,0,0,1,0,1,0,7,0
56,16,2,16,1,0,0,0,4,1,0,1,1,1,0,0,0
56,21,0,1,1,0,0,0,4,0,0,1,1,1,0,0,1
79,16,2,16,0,0,0,0,4,3,0,1,1,0,0,0,0
18,16,4,7,1,0,0,0,4,1,0,1,1,1,0,0,1
58,21,0,0,1,0,0,0,4,1,0,1,1,1,0,0,1
61,19,0,1,1,0,0,0,4,1,0,1,1,1,0,0,1
29,22,0,0,1,0,3,0,4,0,1,1,1,1,0,5,1
63,22,2,16,0,0,0,2,4,0,0,1,1,1,1,0,0
28,22,4,0,1,0,0,0,4,1,0,1,1,1,0,0,1
60,16,4,16,0,0,0,0,4,3,0,1,1,1,0,0,0
55,19,2,16,0,0,0,2,4,3,0,1,1,1,1,0,0
48,21,0,0,1,0,4,0,4,0,1,1,1,1,1,0,1
22,19,4,12,0,0,0,0,4,3,0,1,1,0,1,0,1
28,16,0,1,0,0,0,2,4,3,0,1,1,0,1,7,1
53,19,1,2,1,0,0,0,4,0,0,1,1,1,1,1,1
24,21,4,17,1,0,0,0,1,0,0,1,1,1,0,0,0
63,19,4,16,0,0,0,0,4,0,0,0,1,1,0,0,0
18,18,4,17,1,0,0,2,4,1,0,1,1,1,0,0,0
18,19,4,17,1,0,4,1,4,1,1,1,1,1,1,5,0
30,19,4,0,1,0,0,2,4,1,0,1,1,1,0,0,1
87,19,1,0,0,0,0,0,4,3,0,0,0,0,1,0,0
34,23,4,12,1,0,2,0,4,0,0,1,1,1,1,5,1
75,21,0,1,1,0,0,0,4,0,0,1,1,1,1,0,0
47,19,0,0,1,0,0,0,4,0,0,1,1,1,0,0,1
33,16,4,2,0,0,0,0,4,1,0,1,1,0,0,8,0
35,21,0,0,1,0,0,0,4,1,0,1,1,1,0,0,1
37,10,4,16,1,0,0,0,4,0,0,1,1,1,0,1,0
16,14,4,2,1,1,0,0,0,1,0,1,1,1,0,0,0
80,16,0,0,1,0,3,0,4,0,1,1,1,1,0,0,0
70,21,2,0,1,0,0,0,4,1,0,1,1,1,0,0,0
36,22,0,1,1,0,0,0,4,0,0,1,1,1,0,0,1
70,8,2,16,1,0,4,0,4,0,1,1,1,1,0,7,0
24,19,4,2,1,0,0,0,4,0,0,1,1,1,1,0,1
17,13,4,2,1,1,0,0,4,3,0,1,1,1,1,0,0
94,16,1,16,0,0,0,0,4,0,0,0,0,0,1,0,0
26,19,4,17,1,0,0,2,4,0,0,1,1,1,1,0,0
20,18,4,7,1,0,0,0,4,0,0,1,1,1,0,0,0
8,5,4,7,1,8,0,0,0,0,0,1,1,1,0,0,0
55,24,0,0,1,0,4,0,4,0,1,1,1,1,0,0,1
51,21,0,1,1,0,3,0,4,0,1,1,1,1,1,0,1
71,21,4,16,0,0,0,0,4,3,0,1,1,0,0,0,0
32,19,0,2,1,0,0,0,4,3,0,1,1,1,0,8,1
48,9,0,0,1,0,4,0,4,0,1,1,1,1,0,0,1
30,22,0,0,1,0,0,0,4,3,0,1,1,1,0,8,1
69,16,4,0,1,0,0,0,4,0,0,1,1,1,0,0,0
48,24,4,17,1,0,3,0,4,0,1,1,1,1,0,5,0
40,22,0,0,1,0,4,0,4,0,1,1,1,1,0,5,1
10,6,4,2,1,2,4,0,0,0,1,1,1,1,1,8,0
39,19,0,9,1,0,0,0,4,0,0,1,1,1,1,8,1
28,20,4,2,1,0,0,0,4,0,0,1,1,1,0,0,1
20,19,4,2,1,0,0,0,4,0,0,1,1,1,0,0,1
70,20,0,0,1,0,0,0,3,0,0,1,1,1,0,0,1
23,20,4,2,1,0,0,0,4,0,0,1,1,1,0,0,0
26,14,4,16,1,0,0,0,4,0,0,1,1,1,0,0,0
38,22,0,2,1,0,0,0,4,0,0,1,1,1,1,0,1
40,22,0,0,1,0,0,0,4,0,0,1,1,1,1,0,1
43,21,4,2,1,0,0,0,4,1,0,1,1,1,0,5,0
76,16,0,1,0,0,3,0,4,0,1,1,1,0,0,0,0
32,8,0,10,1,0,4,0,4,0,1,1,1,1,1,7,0
12,8,4,2,1,1,0,0,0,0,0,1,1,1,0,0,0
6,3,4,10,1,0,4,0,0,3,1,1,1,1,1,7,0
61,18,0,0,1,0,3,2,4,3,1,1,1,1,0,8,0
41,21,2,17,1,0,0,2,4,0,0,1,1,1,1,1,1
48,16,0,1,1,0,0,0,4,0,0,1,1,1,1,1,1
59,3,0,6,1,0,3,0,4,3,1,1,1,1,1,5,0
59,22,4,0,1,0,3,0,4,0,1,1,1,1,0,7,1
28,19,4,16,0,0,4,2,4,0,1,0,1,1,0,0,0
69,22,2,0,0,0,0,0,2,1,0,0,1,1,0,0,0
63,19,4,11,1,0,0,0,4,0,0,1,1,1,1,1,1
72,21,4,16,0,0,3,2,4,0,1,0,0,0,1,5,0
49,19,2,0,1,0,0,0,4,0,0,1,1,1,1,0,1
75,7,0,0,1,0,3,0,4,0,1,1,1,1,0,7,0
