AGEP,SCHL,MAR,SEX,DIS,CIT,MIL,ANC,NATIVITY,RELP,DEAR,DEYE,DREM,RAC1P,GCL,COW,ESR,WKHP,JWMNP,PINCP,MIG
4,18,4,0,1,0,3,0,0,0,1,1,1,0,0,0,5,0,0,0,1
12,15,4,1,1,0,3,0,0,0,1,1,1,1,2,1,0,40,30,4,0
13,19,0,1,1,3,3,3,1,0,1,1,1,5,2,1,0,40,40,5,0
14,10,4,0,0,0,3,0,0,0,1,1,0,0,2,0,5,0,0,2,1
14,20,0,0,1,0,3,0,0,0,1,1,1,0,2,1,0,60,5,9,1
9,18,0,1,1,0,3,0,0,0,1,1,1,7,0,1,0,30,25,3,1
7,20,0,0,1,0,0,3,0,0,1,1,1,0,0,5,3,60,30,8,1
14,20,0,0,1,4,3,3,1,1,1,1,1,5,2,1,0,36,20,9,1
10,20,4,0,1,3,3,0,1,0,1,1,1,5,0,1,0,40,90,7,1
10,20,0,0,1,0,3,1,0,1,1,1,1,0,0,4,0,40,20,8,1
13,18,0,1,1,0,3,1,0,1,1,1,1,0,2,6,5,0,0,0,1
5,15,4,0,1,0,2,0,0,0,1,1,1,0,0,3,0,40,20,6,1
15,20,0,0,1,0,3,1,0,0,1,1,1,8,2,1,0,40,20,8,1
7,18,4,1,0,0,3,0,0,0,1,1,0,0,0,1,0,40,10,5,0
14,23,0,1,1,0,3,0,0,0,1,1,1,0,2,1,0,50,60,6,1
10,22,0,1,1,0,3,1,0,0,1,1,1,0,0,1,0,40,10,9,1
9,20,0,0,1,0,3,1,0,1,1,1,1,0,0,2,0,35,10,9,0
1,18,4,1,1,4,3,0,1,0,1,1,1,8,0,1,5,0,0,4,0
7,21,0,1,1,4,3,0,1,0,1,1,1,5,0,2,0,40,30,8,0
7,20,0,1,1,4,3,3,1,1,1,1,1,0,0,1,0,25,15,6,1
3,20,4,0,1,0,3,3,0,0,1,1,1,5,0,1,0,40,15,8,0
4,15,0,0,1,0,3,0,0,0,1,1,1,0,0,0,5,0,0,0,1
7,18,4,0,1,4,3,0,1,0,1,1,1,0,0,1,0,45,30,7,1
4,20,4,0,1,0,3,0,0,0,1,1,1,0,0,1,0,45,10,8,0
11,19,0,1,1,0,3,1,0,0,1,1,1,0,2,1,0,20,30,6,1
8,15,4,0,1,0,3,0,0,0,1,1,1,0,0,1,0,40,35,4,1
14,6,0,1,1,4,3,0,1,1,1,1,1,7,2,0,5,0,0,0,1
2,14,4,1,1,3,3,3,1,0,1,1,1,0,0,1,0,40,30,4,0
13,18,0,1,1,0,3,3,0,0,1,1,1,1,2,1,0,24,20,4,1
14,20,4,1,1,0,3,0,0,0,1,1,1,0,2,2,0,40,5,6,1
14,21,0,1,1,4,3,0,1,1,1,1,1,0,2,6,0,30,70,2,1
12,20,0,0,1,0,3,3,0,1,1,1,1,1,2,1,0,27,0,7,1
10,21,4,1,1,0,3,1,0,0,1,1,1,0,0,2,0,35,20,9,1
13,19,4,1,1,0,3,1,0,0,1,1,1,0,2,1,0,40,20,6,1
11,19,0,0,1,0,3,1,0,0,1,1,1,0,2,1,0,45,10,9,1
10,20,0,0,1,0,3,1,0,0,1,1,1,0,0,1,0,50,10,9,0
8,15,0,1,1,0,3,3,0,1,1,1,1,7,0,1,0,40,14,4,1
1,15,0,0,1,0,3,0,0,0,1,1,1,7,0,1,0,66,30,9,0
14,21,0,1,1,0,3,1,0,1,1,1,1,0,2,2,5,0,0,0,1
15,20,0,1,1,0,3,1,0,0,1,1,1,0,2,1,0,50,40,9,1
8,20,4,1,1,0,3,1,0,0,1,1,1,0,0,1,0,50,20,9,0
12,18,0,1,1,0,3,1,0,0,1,1,1,0,2,6,5,0,0,2,1
13,20,0,1,1,0,3,1,0,0,1,1,1,0,2,1,0,40,45,8,1
13,22,0,0,1,0,3,1,0,0,1,1,1,0,2,2,0,80,10,8,1
6,21,4,1,1,3,3,0,1,0,1,1,1,5,0,1,0,40,30,9,0
5,20,4,0,1,0,3,0,0,0,1,1,1,0,0,1,0,35,12,2,1
11,20,0,0,1,0,3,0,0,1,1,1,1,0,2,1,0,50,50,8,1
9,18,0,0,1,4,3,0,1,1,1,1,1,0,0,1,5,30,0,1,1
10,7,0,0,1,4,3,0,1,1,1,1,1,0,0,1,0,40,40,6,1
15,15,0,1,1,0,3,1,0,0,1,1,1,0,2,0,5,0,0,0,1
13,23,0,1,1,0,3,1,0,0,1,1,1,0,2,1,0,32,30,8,0
14,17,0,0,1,0,3,1,0,0,1,1,1,7,2,1,0,40,60,7,0
4,20,4,0,1,4,3,0,1,0,1,1,1,5,0,1,0,40,50,9,1
10,11,0,1,1,3,3,0,1,1,1,1,1,7,0,1,5,10,0,1,0
15,17,4,0,1,0,3,0,0,0,1,1,1,7,2,1,0,45,15,8,1
15,21,0,1,1,0,3,1,0,1,1,1,1,0,2,1,1,40,0,9,1
7,20,4,0,1,4,3,0,1,0,1,1,1,7,0,2,5,0,0,0,1
15,19,0,0,1,0,3,1,0,1,1,1,1,0,2,1,0,40,30,9,1
7,20,0,1,1,4,3,0,1,0,1,1,1,0,0,1,2,40,0,6,1
13,20,0,1,1,0,3,0,0,1,1,1,1,5,2,1,0,40,20,8,1
13,0,4,0,0,0,3,0,0,0,1,1,0,0,2,0,5,0,0,0,1
8,17,0,1,1,0,3,3,0,0,1,1,1,7,0,1,0,26,40,6,1
10,18,0,0,1,0,3,0,0,1,1,1,1,0,0,1,0,70,40,9,0
15,8,4,0,1,4,3,0,1,0,1,1,1,0,2,1,0,40,6,4,1
15,15,4,0,1,4,3,0,1,0,1,1,1,7,2,1,0,40,25,7,1
11,21,0,0,1,2,3,0,0,1,1,1,1,0,2,1,0,40,12,9,1
9,20,4,1,1,0,3,1,0,0,1,1,1,0,0,2,0,40,15,5,0
7,17,0,1,1,0,3,0,0,0,1,1,1,0,0,1,0,40,60,5,1
3,23,4,0,1,4,3,0,1,0,1,1,1,5,0,5,5,0,0,2,0
3,20,0,1,1,0,3,1,0,1,1,1,1,0,0,3,0,50,15,3,1
2,12,0,0,1,0,3,0,0,0,1,1,1,0,0,1,2,70,0,4,0
6,16,3,0,1,0,3,0,0,0,1,1,1,7,0,1,0,72,90,7,1
12,17,4,1,1,3,3,0,1,0,1,1,1,0,2,1,0,35,30,4,1
8,13,0,1,1,4,3,3,1,0,1,1,1,0,0,0,5,0,0,3,1
11,20,0,0,1,4,3,0,1,1,1,1,1,5,2,1,0,40,20,9,1
10,20,0,0,1,0,3,0,0,1,1,1,1,0,0,3,0,56,30,9,1
13,21,0,1,1,0,3,1,0,1,1,1,1,8,2,1,0,40,30,6,1
13,19,0,0,0,0,3,3,0,0,1,1,1,0,2,2,5,50,0,7,1
6,15,0,1,1,0,3,0,0,1,1,1,1,7,0,0,5,0,0,0,1
6,19,4,0,1,0,3,2,0,0,1,1,1,0,0,1,0,30,20,2,1
13,15,0,0,1,3,3,0,1,0,1,1,1,5,2,7,0,40,30,9,1
13,20,4,1,1,0,3,0,0,0,1,1,1,0,2,1,2,30,0,3,1
9,21,0,0,1,0,3,3,0,1,1,1,1,0,0,3,0,45,35,9,0
9,20,0,1,1,0,3,0,0,1,1,1,1,0,0,0,5,0,0,0,1
11,15,2,1,1,3,3,0,1,0,1,1,1,0,2,1,5,40,0,2,1
8,20,0,0,1,3,3,0,1,1,1,1,1,0,0,1,0,40,45,6,1
11,13,0,1,0,4,3,0,1,1,1,1,0,7,2,0,5,0,0,0,1
6,18,4,1,1,0,3,0,0,0,1,1,1,0,0,1,0,40,20,6,1
15,19,0,1,1,0,3,1,0,0,1,1,1,0,2,1,0,40,15,7,1
13,19,0,1,1,3,3,0,1,1,1,1,1,5,2,1,0,40,40,6,1
12,20,4,1,1,0,3,0,0,0,1,1,1,5,2,1,0,40,10,7,1
6,20,0,1,1,0,3,0,0,0,1,1,1,0,0,4,0,40,3,5,0
11,11,0,0,1,4,3,0,1,1,1,1,1,0,2,1,0,48,90,7,1
12,21,0,0,1,4,3,0,1,0,1,1,1,0,2,1,0,55,80,9,1
11,20,4,1,1,0,3,0,0,0,1,1,1,0,2,1,1,40,0,7,1
7,18,0,1,1,0,3,0,0,0,1,1,1,0,0,1,0,40,60,7,0
2,20,4,1,1,0,3,0,0,0,1,1,1,0,0,4,0,32,12,4,1
11,21,0,0,1,0,3,3,0,1,1,1,1,0,2,1,0,40,15,3,0
10,15,0,1,1,4,3,0,1,1,1,1,1,5,0,1,0,34,5,4,1
2,18,4,1,1,4,3,0,1,0,1,1,1,0,0,1,0,35,5,6,1
9,20,0,1,1,0,3,1,0,0,1,1,1,0,0,2,5,50,0,4,1
4,20,4,0,1,0,3,3,0,0,1,1,1,0,0,4,0,15,25,3,1
3,15,0,0,1,0,3,3,0,0,1,1,1,7,0,1,0,64,0,7,1
15,14,0,1,1,0,3,0,0,1,1,1,1,0,2,4,0,30,0,3,1
1,18,4,1,1,3,3,1,1,0,1,1,1,0,0,1,0,28,20,4,0
11,15,0,1,1,4,3,0,1,1,1,1,1,7,2,0,5,0,0,0,1
7,17,4,0,0,0,3,1,0,0,1,1,0,0,0,1,0,33,10,4,1
7,15,0,0,1,4,3,3,1,0,1,1,1,0,0,2,0,35,30,5,1
9,9,0,0,1,4,3,0,1,1,1,1,1,0,0,1,0,40,30,9,0
12,21,0,0,1,0,3,0,0,1,1,1,1,5,2,1,0,45,20,9,1
12,20,0,1,1,4,3,2,1,1,1,1,1,5,2,1,0,40,10,9,1
8,19,4,0,1,0,3,1,0,0,1,1,1,0,0,1,0,40,35,7,1
15,21,0,0,1,4,3,0,1,0,1,1,1,5,2,1,0,40,60,9,1
8,17,4,1,1,0,3,3,0,0,1,1,1,0,0,3,0,37,20,7,0
9,18,4,0,1,0,3,0,0,0,1,1,1,8,0,1,0,45,20,8,1
13,20,4,1,1,0,3,1,0,0,1,1,1,0,2,1,0,40,30,7,0
2,11,4,0,1,2,3,3,0,0,1,1,1,5,0,3,0,50,40,9,1
14,18,0,0,0,0,0,1,0,0,0,1,1,7,2,5,3,65,10,7,1
11,20,4,0,1,0,3,0,0,0,1,1,1,0,2,1,0,40,20,3,1
6,14,0,1,1,0,3,0,0,0,1,1,1,0,0,0,5,0,0,0,1
11,21,0,1,1,0,3,1,0,1,1,1,1,0,2,2,0,80,45,8,1
7,20,0,1,0,0,3,1,0,0,1,1,0,0,0,2,0,10,60,2,1
9,17,4,1,1,3,3,0,1,0,1,1,1,0,0,1,5,0,0,0,1
15,15,0,0,1,0,3,0,0,1,1,1,1,0,2,1,0,45,90,5,1
14,18,0,0,1,0,3,1,0,0,1,1,1,0,2,1,0,40,85,8,1
7,15,4,0,1,4,3,0,1,0,1,1,1,7,0,1,0,40,10,5,1
9,15,0,0,0,0,1,1,0,1,0,1,1,0,0,1,1,55,0,8,1
12,15,0,1,1,4,3,3,1,1,1,1,1,0,2,1,0,40,15,5,1
9,18,0,0,1,0,3,0,0,1,1,1,1,7,0,1,0,55,10,8,1
12,16,0,1,1,4,3,0,1,1,1,1,1,0,2,0,5,0,0,0,1
13,21,0,0,1,0,3,0,0,0,1,1,1,0,2,5,0,50,70,9,1
15,21,4,1,1,0,3,0,0,0,1,1,1,5,2,4,0,45,25,9,1
14,20,0,0,1,0,3,0,0,1,1,1,1,7,2,1,0,40,15,8,0
15,19,4,1,1,0,3,0,0,0,1,1,1,7,2,4,0,41,25,9,1
15,20,0,1,1,0,3,0,0,0,1,1,1,0,2,3,0,40,15,7,1
6,11,0,1,1,4,3,0,1,1,1,1,1,0,0,0,5,0,0,0,1
5,18,4,1,1,3,3,0,1,0,1,1,1,0,0,1,0,40,10,4,1
6,20,4,0,1,0,3,0,0,0,1,1,1,5,0,4,0,48,30,5,1
10,15,0,1,1,4,3,0,1,0,1,1,1,0,0,0,5,0,0,0,1
12,21,0,1,1,4,3,3,1,1,1,1,1,5,2,3,5,0,0,0,0
11,20,0,0,1,0,3,0,0,0,1,1,1,5,2,1,0,40,15,9,1
7,20,0,1,1,4,3,0,1,1,1,1,1,5,0,7,5,0,0,0,0
13,12,0,1,1,3,3,0,1,1,1,1,1,0,2,6,0,38,30,3,1
10,20,0,1,1,4,3,0,1,1,1,1,1,0,0,0,5,0,0,0,1
6,15,0,0,1,4,3,0,1,1,1,1,1,0,0,1,0,46,10,7,0
12,18,0,1,1,0,3,0,0,0,1,1,1,0,2,1,0,40,60,9,0
5,20,4,1,1,0,3,1,0,0,1,1,1,8,0,2,0,40,15,6,0
14,20,0,0,1,0,3,3,0,0,1,1,1,0,2,2,0,60,20,7,1
7,20,0,1,1,0,3,0,0,1,1,1,1,5,0,1,0,55,40,9,1
9,18,0,1,1,0,3,3,0,1,1,1,1,5,0,6,5,0,0,0,1
10,18,4,0,1,0,3,1,0,0,1,1,1,8,0,1,0,30,5,7,1
10,18,3,1,1,0,3,3,0,0,1,1,1,0,0,1,0,20,7,3,1
14,21,0,0,1,0,3,1,0,0,1,1,1,0,2,1,0,40,15,9,1
11,21,0,0,1,4,3,0,1,0,1,1,1,5,2,1,0,45,20,9,1
14,19,0,1,1,0,3,1,0,1,1,1,1,0,2,1,0,32,45,7,0
14,15,2,1,0,0,3,1,0,0,1,1,1,0,2,1,0,40,5,4,0
8,15,0,1,1,0,3,3,0,0,1,1,1,7,0,1,0,40,4,8,1
14,15,0,1,1,4,3,0,1,1,1,1,1,5,2,1,0,16,10,2,1
11,8,0,1,1,3,3,0,1,0,1,1,1,0,2,1,0,30,10,5,1
12,15,4,1,1,0,3,0,0,0,1,1,1,7,2,1,0,20,3,3,1
7,20,0,0,1,0,3,1,0,0,1,1,1,0,0,2,2,37,0,5,0
6,20,4,0,1,0,3,3,0,0,1,1,1,0,0,1,0,40,20,8,0
12,18,4,1,1,0,3,0,0,0,1,1,1,0,2,3,5,0,0,0,1
